timestamp,open,high,low,close,volume
2025-10-20,2971.1499,3022.0000,2971.1499,3014.2500,492693
2025-10-17,2970.8501,2988.0000,2955.0500,2962.6001,143733
2025-10-16,2969.0000,2974.5500,2944.2500,2970.8501,534755
2025-10-15,2974.9500,2979.8999,2951.6001,2969.0000,229177
2025-10-14,3010.0500,3027.0000,2957.0000,2960.3000,145577
2025-10-13,3005.0500,3036.0000,2998.8000,3007.1499,135947
2025-10-10,3064.8999,3070.0500,3006.6499,3028.3999,286309
2025-10-09,3035.0000,3066.5500,3020.1499,3061.9500,439505
2025-10-08,2973.8501,3042.0000,2969.0000,3026.8501,360325
2025-10-07,2997.0000,3004.5000,2955.5000,2973.8501,90183
2025-10-06,2902.0000,2992.0000,2895.9500,2988.0500,190827
2025-10-03,2920.0500,2924.3999,2891.7000,2902.1499,80725
2025-10-02,2914.1001,2914.1001,2914.1001,2914.1001,0
2025-10-01,2889.0000,2924.3999,2867.5500,2914.1001,566102
2025-09-30,2919.8000,2919.8000,2886.0000,2889.0000,150363
2025-09-29,2911.1499,2928.8000,2892.5000,2896.3999,187488
2025-09-26,2940.0000,2952.0000,2892.0000,2900.1001,590085
2025-09-25,3024.9500,3030.3501,2951.0000,2960.3501,569581
2025-09-24,3049.9500,3058.3999,3034.0000,3036.1499,93221
2025-09-23,3074.0000,3080.9500,3052.2500,3062.3501,137822
2025-09-22,3070.1001,3106.6001,3063.0500,3074.0500,385138
2025-09-19,3169.9500,3177.3000,3144.5000,3169.8501,44929
2025-09-18,3186.8000,3202.9500,3161.0000,3176.2500,365538
2025-09-17,3155.4500,3182.0000,3141.4500,3172.8000,142149
2025-09-16,3129.9500,3150.0000,3109.3999,3145.4500,74763
2025-09-15,3126.0500,3131.0000,3096.0000,3111.5000,103887
2025-09-12,3140.0500,3148.5000,3120.3501,3134.0500,43288
2025-09-11,3133.0500,3138.3000,3110.1499,3123.9500,533044
2025-09-10,3055.0000,3122.0000,3055.0000,3110.1499,250881
2025-09-09,3034.8999,3059.8999,3031.0500,3049.4500,111210
2025-09-08,3048.5000,3066.5500,3016.6001,3019.3000,194003
2025-09-05,3099.9500,3104.6001,3029.5000,3048.4500,191114
2025-09-04,3120.0000,3120.0000,3090.1001,3095.7500,394965
2025-09-03,3120.3000,3142.6499,3087.7500,3098.2000,172159
2025-09-02,3123.0000,3155.3501,3105.0000,3112.1499,36874
2025-09-01,3096.6001,3130.7000,3095.1499,3112.2000,58410
2025-08-29,3090.0000,3114.8000,3077.0000,3084.3999,275151
2025-08-28,3155.9500,3155.9500,3087.1001,3096.6499,135322
2025-08-27,3156.2500,3156.2500,3156.2500,3156.2500,0
2025-08-26,3130.0000,3163.3999,3121.0000,3156.2500,609827
2025-08-25,3084.0000,3152.0000,3080.0000,3140.7500,178864
2025-08-22,3098.0000,3098.0000,3050.5500,3053.6499,84551
2025-08-21,3115.0500,3123.0000,3083.1001,3101.2000,56847
2025-08-20,3016.1001,3102.1001,3012.0000,3097.3999,103099
2025-08-19,3015.0000,3024.8999,3010.0000,3016.1499,166183
2025-08-18,3059.9500,3059.9500,3003.8999,3011.9500,93061
2025-08-14,3035.6001,3055.0000,3017.8999,3021.8999,150008
2025-08-13,3039.9500,3045.8501,3029.0000,3035.6001,69512
2025-08-12,3042.2000,3095.4500,3025.8000,3035.5000,52665
2025-08-11,3048.0000,3049.1499,3021.8999,3040.3501,82049
2025-08-08,3047.0000,3058.0000,3025.0000,3034.5000,80383
2025-08-07,3029.8501,3050.9500,3012.0000,3047.1499,88044
2025-08-06,3072.8000,3072.8000,3027.0000,3031.6001,37832
2025-08-05,3072.0000,3077.4500,3042.3999,3062.1499,131048
2025-08-04,3014.6001,3080.0000,2992.0500,3074.8999,169679
2025-08-01,3021.4500,3037.3000,3000.0000,3003.1001,262947
2025-07-31,3047.5500,3060.0000,3015.0500,3037.3501,118847
2025-07-30,3060.0000,3070.0000,3048.0500,3053.5500,100412
2025-07-29,3069.3000,3074.5000,3041.0000,3056.5500,163690
2025-07-28,3113.0000,3113.0500,3070.0000,3079.0500,224281
2025-07-25,3149.9500,3157.2500,3127.0000,3134.3501,101533
2025-07-24,3165.0000,3174.3000,3140.0000,3150.1499,142183
2025-07-23,3169.0000,3182.9500,3159.0000,3179.3501,78657
2025-07-22,3160.8999,3179.6499,3154.2500,3159.7500,127085
2025-07-21,3221.7000,3221.7000,3152.5000,3158.3999,66767
2025-07-18,3213.0500,3227.9500,3186.8999,3189.8501,95407
2025-07-17,3230.0000,3242.0500,3204.0000,3208.5000,92023
2025-07-16,3225.0000,3245.0000,3220.3501,3232.4500,124256
2025-07-15,3210.0000,3259.8000,3208.3999,3252.8000,236281
2025-07-14,3281.3999,3281.3999,3200.5000,3223.2000,191459
2025-07-11,3314.0000,3337.2500,3261.3501,3265.3999,453988
2025-07-10,3385.0000,3399.7500,3356.3501,3382.3000,268234
2025-07-09,3416.6001,3416.6001,3366.8999,3384.3501,79903
2025-07-08,3410.0000,3424.0000,3394.0500,3406.3501,377142
2025-07-07,3420.8999,3426.3501,3408.2000,3411.9500,77567
2025-07-04,3401.1001,3426.0000,3388.6499,3420.9500,170988
2025-07-03,3434.8999,3435.0000,3398.1499,3400.7500,113506
2025-07-02,3450.0500,3489.8501,3420.1001,3423.3501,54493
2025-07-01,3460.9500,3485.0000,3414.4500,3429.4500,221565
2025-06-30,3444.9500,3465.0000,3430.1499,3461.0500,80588
2025-06-27,3455.0000,3466.6499,3430.7500,3443.1499,35961
2025-06-26,3447.2500,3451.0000,3416.0000,3441.6499,60021
2025-06-25,3409.6001,3449.8999,3400.8999,3445.6499,18541
2025-06-24,3430.5000,3442.8000,3382.3999,3390.2000,771522
2025-06-23,3414.3000,3429.3000,3370.1001,3393.3999,136998
2025-06-20,3424.3501,3445.6001,3408.5000,3434.3501,419497
2025-06-19,3448.7000,3452.0000,3413.3501,3424.2500,53098
2025-06-18,3524.3501,3539.4500,3443.6499,3452.2000,51232
2025-06-17,3510.0000,3522.3000,3488.2000,3515.2500,570631
2025-06-16,3423.2500,3508.2000,3423.2500,3495.3501,237333
2025-06-13,3400.0000,3450.0000,3392.7500,3447.1001,64111
2025-06-12,3477.0000,3477.0000,3423.1001,3433.9500,180783
2025-06-11,3465.1499,3489.2000,3450.0000,3472.1499,111532
2025-06-10,3440.0000,3485.0000,3424.0000,3463.5000,313572
2025-06-09,3394.3000,3435.2500,3390.0500,3423.7000,159154
2025-06-06,3371.9500,3390.0000,3358.0000,3385.7000,147321
2025-06-05,3429.2500,3429.3000,3364.2000,3371.9500,62839
