timestamp,open,high,low,close,volume
2025-12-08,404.5500,405.2500,400.7000,402.1500,729597
2025-12-05,403.0500,405.3500,401.8000,404.8000,598309
2025-12-04,400.2500,403.4000,399.0500,403.0500,2453631
2025-12-03,401.3500,402.2000,398.9000,400.5500,1385564
2025-12-02,401.1500,405.4000,400.5000,401.0500,408653
2025-12-01,402.3500,405.5000,398.3000,404.4000,1222939
2025-11-28,404.0000,404.7500,402.5500,404.4000,1317040
2025-11-27,403.2500,405.5500,402.0000,403.9500,1323253
2025-11-26,401.0000,404.1000,401.0000,402.2500,385371
2025-11-25,404.0000,404.5000,400.1000,400.7000,313693
2025-11-24,410.9500,410.9500,402.7500,403.6000,179485
2025-11-21,405.0000,408.4000,404.4500,407.8000,447626
2025-11-20,403.5500,407.0000,403.2000,405.5000,1179441
2025-11-19,404.6000,405.0000,402.7000,403.5500,166598
2025-11-18,407.2000,408.5000,404.5000,405.7500,294096
2025-11-17,411.0000,411.0000,406.0500,407.1000,126084
2025-11-14,404.2500,408.8000,400.3000,407.8500,571505
2025-11-13,406.4000,407.8000,404.6000,405.7500,1056900
2025-11-12,407.5500,407.8000,405.6000,407.0500,360450
2025-11-11,406.5500,407.8500,404.6000,406.8500,347048
2025-11-10,404.0000,407.0000,403.9000,405.6500,914325
2025-11-07,405.4500,409.1000,403.6000,404.0000,757484
2025-11-06,409.2000,413.1000,406.4500,407.3000,1904518
2025-11-04,413.9500,414.6500,408.3500,408.6000,664472
2025-11-03,420.2500,421.7000,413.4000,413.9500,454748
2025-10-31,419.8000,426.5000,418.3500,420.2500,1144792
2025-10-30,421.6000,421.8500,416.1500,418.7000,1707852
2025-10-29,417.0500,422.0000,416.0500,421.6000,661655
2025-10-28,420.0000,421.6500,416.0000,417.9500,450198
2025-10-27,417.0000,422.5000,416.6000,420.3500,844482
2025-10-24,415.8500,418.0000,413.4000,417.1000,1648664
2025-10-23,415.0000,420.2500,413.3500,415.8500,2147295
2025-10-21,414.4500,414.4500,412.4000,412.8500,99331
2025-10-20,412.0000,414.8000,411.3000,412.9500,660387
2025-10-17,405.0500,413.7500,405.0500,412.1000,1124012
2025-10-16,400.2000,405.7000,399.7000,405.0500,1694286
2025-10-15,398.6500,400.9000,397.3000,400.0500,408357
2025-10-14,399.7000,401.0000,396.2500,396.7000,183443
